date,AOT,CCU,CTI,CWS,KDB,RGB,SDD,SLP,TSM,TUR
2023-02-19,,0.17936954,-0.007005296,,,,,,,
2023-02-20,,0.15928954,-0.003141111,,,,,,,
2023-02-21,,0.10116393,0.0041025523,,,,,,,
2023-02-22,,0.04044846,0.012889965,,,,,,,
2023-02-23,,0.07617596,0.01976247,,,,,,,
2023-02-24,,0.120216444,0.021268828,,,,,,,
2023-02-25,,0.0803075,0.015932102,,,,,,,
2023-02-26,,0.09419324,0.0052930126,,,,,,,
2023-02-27,,0.08641123,-0.0067820502,,,,,,,
2023-02-28,,0.08807154,-0.016220504,,,,,,,
2023-03-01,,0.10546589,-0.020906191,,,,,,,
2023-03-02,,0.08202895,-0.02129577,,,,,,,
2023-03-03,,0.049623672,-0.019399282,,,,,,,
2023-03-04,,0.035159234,-0.01698207,,,,,,,
2023-03-05,,0.03344233,-0.014589603,,,,,,,
2023-03-06,,0.03667594,-0.011796006,,,,,,,
2023-03-07,,0.035732366,-0.008215827,,,,,,,
2023-03-08,,0.074532,-0.0042782347,,,,,,,
2023-03-09,,0.1481732,-0.0010120289,,,,,,,
2023-03-10,,0.05401176,0.0006609393,,,,,,,
2023-03-11,,0.12098138,0.00074066996,,,,,,,
2023-03-12,,0.041355472,7.0382914e-05,,,,,,,
2023-03-13,,0.03500993,-0.00023231846,,,,,,,
2023-03-14,,0.037428282,0.00031424858,,,,,,,
2023-03-15,,0.075140595,0.0009644654,,,,,,,
2023-03-16,,0.08207967,0.00024084153,,,,,,,
2023-03-17,,0.16747852,-0.002952232,,,,,,,
2023-03-18,,0.118859835,-0.008105854,,,,,,,
2023-03-19,,0.03526126,-0.012914709,,,,,,,
2023-03-20,,0.05673126,-0.014415569,,,,,,,
2023-03-21,,0.077667184,-0.010721293,,,,,,,
2023-03-22,,0.08833377,-0.0022981663,,,,,,,
2023-03-23,,0.09113561,0.008014576,,,,,,,
2023-03-24,,0.07260371,0.016252397,,,,,,,
2023-03-25,,0.042033207,0.019004203,,,,,,,
2023-03-26,,0.06762651,0.015110051,,,,,,,
2023-03-27,,0.03243454,0.0062041413,,,,,,,
2023-03-28,,0.08652151,-0.0041894307,,,,,,,
2023-03-29,,0.10477515,-0.012565818,,,,,,,
2023-03-30,,0.091154315,-0.017285597,,,,,,,
2023-03-31,,0.051224884,-0.018985784,,,,,,,
2023-04-01,,0.18259525,-0.019393234,,,,,,,
2023-04-02,,0.22244076,-0.019498259,,,,,,,
2023-04-03,,0.1752209,-0.018902753,,,,,,,
2023-04-04,,0.13043103,-0.016575718,,,,,,,
2023-04-05,,0.10787975,-0.012205658,,,,,,,
2023-04-06,,0.06385162,-0.0066613546,,,,,,,
2023-04-07,,0.043852694,-0.0013394742,,,,,,,
2023-04-08,,0.086949036,0.0028271375,,,,,,,
2023-04-09,,0.08724042,0.0058376556,,,,,,,
2023-04-10,,0.039503325,0.00816579,,,,,,,
2023-04-11,,0.049513627,0.009997394,,,,,,,
2023-04-12,,0.10928152,0.010747137,,,,,,,
2023-04-13,,0.064210355,0.009175069,,,,,,,
2023-04-14,,0.14593081,0.004208402,,,,,,,
2023-04-15,,0.1637886,-0.0039106486,,,,,,,
2023-04-16,,0.12813915,-0.012979593,,,,,,,
2023-04-17,,0.091800526,-0.019342095,,,,,,,
2023-04-18,,0.06814058,-0.019785838,,,,,,,
2023-04-19,,0.06263961,-0.013357626,,,,,,,
2023-04-20,,0.06377409,-0.00224153,,,,,,,
2023-04-21,,0.03847146,0.009360097,,,,,,,
2023-04-22,,0.03240134,0.017305667,,,,,,,
2023-04-23,,0.035623573,0.019230472,,,,,,,
2023-04-24,,0.02458499,0.015297007,,,,,,,
2023-04-25,,0.029277598,0.0076637613,,,,,,,
2023-04-26,,0.08523539,-0.0006642384,,,,,,,
2023-04-27,,0.107516885,-0.0073602344,,,,,,,
2023-04-28,,0.07314931,-0.0118355965,,,,,,,
2023-04-29,,0.047439385,-0.0150135495,,,,,,,
2023-04-30,,0.054268368,-0.018044684,,,,,,,
2023-05-01,,0.057114664,-0.020825911,,,,,,,
2023-05-02,,0.1955127,-0.021780478,,,,,,,
2023-05-03,,0.18424237,-0.019207379,,,,,,,
2023-05-04,,0.15382898,-0.012931205,,,,,,,
2023-05-05,,0.14994536,-0.0044998312,,,,,,,
2023-05-06,,0.110713184,0.003898827,,,,,,,
2023-05-07,,0.04290702,0.010888177,,,,,,,
2023-05-08,,0.073498845,0.01616332,,,,,,,
2023-05-09,,0.08720458,0.019762194,,,,,,,
2023-05-10,,0.08638153,0.021118438,,,,,,,
2023-05-11,,0.062272485,0.01914167,,,,,,,
2023-05-12,,0.09070124,0.012919382,,,,,,,
2023-05-13,,0.05638754,0.0027779248,,,,,,,
2023-05-14,,0.11696143,-0.009188541,,,,,,,
2023-05-15,,0.14734805,-0.019306354,,,,,,,
2023-05-16,,0.1114603,-0.023719855,,,,,,,
2023-05-17,,0.0629277,-0.020293638,,,,,,,
2023-05-18,,0.044773508,-0.010132386,,,,,,,
2023-05-19,,0.08193709,0.0027922208,,,,,,,
2023-05-20,,0.04620837,0.0135921445,,,,,,,
